WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean
"LINESTRING (121.1102866 14.6977874,121.1102705 14.6978328,121.1101907 14.6980073,121.1101445 14.6980833,121.1100841 14.6981409,121.1100218 14.6981727,121.1099673 14.6981848,121.1093316 14.6982643,121.1092921 14.698306,121.1091721 14.6984821,121.1090967 14.6985948,121.1090037 14.6987072,121.1088858 14.6988057,121.1087842 14.6988607,121.1086357 14.6989141,121.108459 14.6989407,121.1078832 14.6989733,121.1077069 14.698979,121.1076734 14.6989724,121.1076513 14.6989614,121.1076366 14.6989416)",35,way/124171759,way/124171759,,,,,residential,"2",,,A. Bonifacio Street,,,,,no,,,2,3,2.5
"LINESTRING (121.1131018 14.7021655,121.1126955 14.7022736)",36,way/124171767,way/124171767,private,,,,footway,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1136736 14.7021635,121.1138794 14.7021376,121.1140981 14.7021078,121.1145326 14.7020546,121.1153364 14.7019443)",37,way/124171771,way/124171771,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1100193 14.697396,121.1104256 14.6971194)",38,way/237101539,way/237101539,,,,,residential,,,,Pineda Street,,,,,,,,3,3,3
"LINESTRING (121.1117181 14.7011105,121.1119383 14.7007581)",39,way/252721994,way/252721994,destination,,,,service,,,no,Block 3-4,,,alley,,,,,,,
"LINESTRING (121.112485 14.7015837,121.112447 14.7013769)",40,way/252722014,way/252722014,,,,,path,,,,,,,,,,,,1,1,1
"LINESTRING (121.112772 14.7015765,121.112485 14.7015837,121.1124821 14.7016325)",41,way/252722016,way/252722016,,,,,footway,,,,,,,,,,,,3,3,3
"LINESTRING (121.1114996 14.6995529,121.1114862 14.6995406,121.1113608 14.6993298,121.1113307 14.6992808,121.111199 14.6990708,121.1111957 14.6990552)",42,way/252722017,way/252722017,private,,,,residential,,,,,,,,,,,,,,
"LINESTRING (121.1111214 14.6994349,121.1111053 14.6994667,121.1110939 14.6995069,121.1110926 14.6995445,121.1111402 14.6996638,121.1111409 14.6996878,121.1111268 14.6997047,121.1106996 14.6999888,121.1106701 14.7000186,121.1106494 14.7000557,121.110542 14.7004298,121.1105313 14.7004551,121.110506 14.7004649)",43,way/252722024,way/252722024,private,,,,service,,,,,,,driveway,,,,,1,1,1
"LINESTRING (121.1143323 14.7012269,121.1144705 14.7012124,121.1146399 14.7011981,121.1147742 14.7011851,121.1148812 14.7011692,121.1149338 14.7011553,121.1149912 14.701131,121.1153291 14.7009623,121.1154572 14.7009065)",44,way/252724612,way/252724612,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.114222 14.7030087,121.1142321 14.7030197,121.1141771 14.7031624,121.1141831 14.7031747,121.1147404 14.7031987)",45,way/260901194,way/260901194,,,,,path,,,,,,,,,,,,3,3,3
"LINESTRING (121.1137439 14.7052135,121.1136822 14.7050932,121.1136299 14.7050109,121.113558 14.7049283,121.1134764 14.7048471,121.1133899 14.7047624,121.1132286 14.7046121,121.1131621 14.7045588,121.1130983 14.7045185)",46,way/482454409,way/482454409,,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1128498 14.7045071,121.1128486 14.7044354,121.1128604 14.7043939)",47,way/482454411,way/482454411,,,,,footway,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1128512 14.7046129,121.1128498 14.7045071)",48,way/482454413,way/482454413,,yes,,,footway,,"1",,,,,,,,,,3,3,3
"LINESTRING (121.1099673 14.6981848,121.1095728 14.6975655,121.1091675 14.6969586)",49,way/593463083,way/593463083,,,,,residential,,,,General F. Macabulos Street,,,,Macabulos,,,,3,3,3
"LINESTRING (121.1101175 14.69903,121.1101166 14.6990146,121.1101746 14.6988526,121.1102547 14.6986675,121.1103333 14.6985183)",50,way/594263300,way/594263300,private,,,,residential,,,no,,,,,,,,,1,2,1.5
"LINESTRING (121.1102547 14.6986675,121.1106832 14.6989292,121.1108996 14.6993011)",51,way/594263301,way/594263301,private,,,,service,,,no,,,,alley,,,,,1,1,1
"LINESTRING (121.1106983 14.6993561,121.110528 14.699051,121.1101746 14.6988526)",52,way/594263302,way/594263302,private,,,,service,,,no,,,,alley,,,,,1,1,1
"LINESTRING (121.1115834 14.697776,121.1109275 14.6983926)",53,way/594263304,way/594263304,destination,,,,residential,,,,Venus Street,,,,,,,,1,1,1
"LINESTRING (121.1094489 14.6965606,121.1100193 14.697396,121.1102866 14.6977874)",54,way/594263306,way/594263306,,,,,residential,,,,General Geronimo Street,,,,Geronimo,,,,3,3,3
"LINESTRING (121.1118079 14.6980079,121.1119678 14.6982115)",55,way/594263307,way/594263307,private,,,,service,,,,,,,alley,,,,,2,3,2.5
"LINESTRING (121.1110547 14.6985614,121.1118079 14.6980079)",56,way/594263308,way/594263308,private,,,,service,,,,,,,alley,,,,,2,3,2.5
"LINESTRING (121.1119678 14.6982115,121.1115151 14.6985262,121.1113996 14.69865,121.1112262 14.6987796)",57,way/594263309,way/594263309,private,,,,residential,,,no,,,,,,,,,2,3,2.5
"LINESTRING (121.1119786 14.6992235,121.1118162 14.6989504)",58,way/594263310,way/594263310,private,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1123954 14.6993998,121.1123737 14.6994112,121.1123478 14.6994174,121.1115438 14.699551,121.1115174 14.6995549,121.1114996 14.6995529)",59,way/594263311,way/594263311,private,,,,residential,,,,,,,,,,,,1,3,2
"LINESTRING (121.1122924 14.6991708,121.1119786 14.6992235,121.1114393 14.6993317,121.1113608 14.6993298,121.1113122 14.6993301,121.1112299 14.6993655)",60,way/594263312,way/594263312,private,,,,residential,,,,,,,,,,,,1,3,2
"LINESTRING (121.1111957 14.6990552,121.1112099 14.6990366,121.1118811 14.698558,121.1118979 14.6985537)",61,way/594263313,way/594263313,private,,,,residential,,,,,,,,,,,,1,2,1.5
"LINESTRING (121.1135664 14.7017352,121.1135347 14.7015247,121.1134603 14.7009267,121.113412 14.7007308,121.1134199 14.7005585)",62,way/594266972,way/594266972,private,,,,residential,,,,,,,,,,,unpaved,3,3,3
"LINESTRING (121.1127402 14.7004039,121.1127079 14.7001976)",63,way/594266974,way/594266974,,,,,path,,,,,,,,,,,,3,3,3
"LINESTRING (121.1122984 14.7006482,121.1124014 14.7006467)",64,way/594266976,way/594266976,,,,,path,,,,,,,,,,,,3,3,3
"LINESTRING (121.1122984 14.7006482,121.1122949 14.700665,121.1122613 14.7006724,121.1122178 14.7006757)",65,way/594266978,way/594266978,,,,,path,,,,,,,,,,,,,,
